"","xh","r","p","fisrtYear","endYear","r_nino","p_nino","code","code_simple","lon","lat"
"245",464,-0.134797140680605,0.406938692461187,1447,2020,0.0473484890759197,0.771720571513472,"rus317","rus317",64.7,63.4
"246",465,-0.304649289081803,0.0559550375585735,1667,2010,0.194227932082319,0.229778403490218,"rus318","rus318",35.97,65.18
"247",466,-0.166439047749265,0.304677146104611,1592,2011,0.102110865708814,0.530679223447605,"rus319","rus319",35.8,65.15
"248",467,-0.23931763717822,0.136938024708718,1859,2016,0.12495717011527,0.442334712748858,"rus320","rus320",35.66825,65.09063
"249",468,-0.173671461767852,0.283839021874462,1880,2016,0.111948202365892,0.491617866504451,"rus321","rus321",35.64086,65.03915
"250",469,-0.235613092055831,0.14330578842684,1889,2016,0.0984801561132602,0.545467819178258,"rus322","rus322",35.64086,65.03915
"251",470,-0.228129677260142,0.156829575757477,1632,2007,0.151697560291487,0.350087486882716,"rus323","rus323",41.310967,43.404317
"252",471,0.140411885906833,0.387491455249299,1811,2011,0.0266683989281308,0.87024578686866,"rus324","rus324",42.5056,43.238
"253",472,-0.20205022603706,0.211190160237051,1770,2011,-0.158740649757148,0.327901185580083,"rus325","rus325",40.205083,43.718631
"254",473,0.081455825701471,0.617309243116498,1740,2014,-0.0462946404167277,0.776670469009348,"rus326","rus326",43.708,42.8548
"255",474,0.153653353853374,0.343836904266652,1822,2008,-0.137981724329835,0.395840872495585,"rus327","rus327",40.467839,43.882036
"256",475,0.0834103700529608,0.608861960034024,1925,2008,-0.229749898728823,0.153825636590896,"rus328","rus328",46.6695,50.7299
"257",476,-0.121334689563743,0.455778452372297,1904,2014,0.0296347700752168,0.855956941500915,"rus329","rus329",34.13667,54.66108
"258",477,-0.0341895332274762,0.83410637775006,1917,2014,-0.000892748138889318,0.995637837243797,"rus330","rus330",35.8131,53.9633
"259",478,-0.289921326166046,0.0695737152975793,1891,2012,0.289232786318955,0.0702691586478756,"rus331","rus331",43.161556,64.563139
"260",479,-0.140635503877444,0.386728375990695,1777,2012,0.0922497318266638,0.571293725611035,"rus332","rus332",43.188444,64.694833
"261",480,-0.263513751737517,0.1003946842279,1865,2012,0.193643488607584,0.231210686371318,"rus333","rus333",44.2336,58.8661
"262",481,-0.209380414497021,0.194743191689731,1775,2013,0.120961692922727,0.457175129274727,"rus334","rus334",36.200908,54.529614
"263",483,0.00135736948735606,0.993367637270384,1768,2005,-0.0416225642291906,0.798717552802433,"rus336","rus336",41.70855,43.43025
"264",485,-0.318241549490619,0.0453621440277653,1832,2009,0.164354925033399,0.31085826724638,"rus338","rus338",44.379,58.982
"265",487,-0.156306731289015,0.335467023301234,1811,2009,0.176471318611579,0.276027019954564,"rus340","rus340",38.84,60.16
"266",488,-0.0885048643496812,0.587080392963911,1935,2012,0.281930131975316,0.0779866083662257,"rus341","rus341",44.4952,58.1505
"267",489,0.176476522984978,0.276012631394259,1831,2006,-0.108833895974838,0.503821364785603,"rus342","rus342",43.590667,42.8944
"268",490,-0.29077330117628,0.0687207183815366,1805,2007,0.218687981144274,0.17518760720181,"rus343","rus343",41.303533,43.428
"269",491,-0.0407645670538288,0.80278370726198,1854,2014,-0.18335791912562,0.257416521584598,"rus344","rus344",36.618622,57.345825
"270",492,-0.309566960687072,0.0519151953970292,1878,2014,0.124283228836068,0.444819219147225,"rus345","rus345",32.958888,56.458
"271",493,0.0855692223126881,0.599589574787029,1887,2014,-0.0597134783933215,0.714355774159417,"rus346","rus346",40.0368,55.2372
"272",494,0.0584855539573367,0.719989478735573,1836,2014,-0.0339971509870448,0.835026929425055,"rus347","rus347",36.840801,55.733765
"273",495,0.000738491852318579,0.996391561766166,1897,2013,-0.256850873837163,0.109614622524445,"rus348","rus348",36.727998,55.696133
"274",496,0.0660630088908188,0.685467898290153,1843,2014,-0.140027239218468,0.38880609211183,"rus349","rus349",37.6564,54.9123
"275",498,-0.146982589344467,0.365438325498922,1768,2010,0.187459116395993,0.246739985262989,"rus351","rus351",35.830665,54.049325
"276",499,-0.126181002319165,0.437842562374609,1885,2009,0.0106061575958337,0.948210703727374,"rus352","rus352",38.548875,54.857721
"277",500,0.125992885095106,0.438531414901334,1892,2014,0.104939511291253,0.519294660694129,"rus353","rus353",36.0002,54.7323
"278",501,-0.260749765477476,0.104144605647475,1873,2009,0.101392915465286,0.533588005683446,"rus354","rus354",38.46,60.45
"279",502,-0.233639788497202,0.146785426189435,1862,2010,-0.032998812275591,0.839807452748174,"rus355","rus355",32.733,57.0491
"280",504,-0.3739162189203,0.0174636743089359,1362,2007,0.32872478781289,0.0383531669541278,"rus357","rus357",65.19,64.95
"281",505,0.228523638702019,0.156095262200106,1898,2014,-0.19604533438496,0.225363290844632,"rus358","rus358",49.26,55.3
